FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
7,tone_stop_round_start,906.071,lever_1_out,lever_1_out,,,ID:speaker|,7
7,lever_extended_lever_1,906.904,lever_1_out,lever_1_out,,,ID:lever_1|,7
7,tone_start_door_2_open,965.033,lever_1_out,lever_1_out,,,ID:speaker|,7
7,lever_retracted_lever_1,965.481,lever_1_out,lever_1_out,,,ID:lever_1|,7
7,tone_stop_door_2_open,966.039,reward_phase,reward_phase,,,ID:speaker|,7
7,open_start_door_2,966.04,reward_phase,reward_phase,,,ID:door_2|,7
7,open_finished_door_2,967.644,reward_phase,reward_phase,,,ID:door_2|,7
7,door_2_open_|_beam_broken_door2_ir,998.203,reward_phase,reward_phase,32.165,,beam_ID:door2_ir|,7
7,beam_broken_door2_ir,998.203,reward_phase,reward_phase,,,ID:door2_ir|,7
7,beam_unbroken_door2_ir,1002.174,reward_phase,reward_phase,,,ID:door2_ir|,7
7,close_start_door_2,1026.062,reward_phase,reward_phase,,,ID:door_2|,7
7,close_finished_door_2,1027.618,reward_phase,reward_phase,,,ID:door_2|,7
7,output_activated,1027.62,reward_phase,reward_phase,,,ID:round_LED|,7
7,output_deactivated,1046.658,reward_phase,reward_phase,,,ID:round_LED|,7
8,new_round,1091.668,lever_1_out,lever_1_out,,,ID:round_LED|,8
8,output_activated,1091.669,lever_1_out,lever_1_out,,,ID:round_LED|,8
8,tone_start_round_start,1091.709,lever_1_out,lever_1_out,,,ID:speaker|,8
8,output_deactivated,1092.172,lever_1_out,lever_1_out,,,ID:round_LED|,8
8,tone_stop_round_start,1092.714,lever_1_out,lever_1_out,,,ID:speaker|,8
8,lever_extended_lever_1,1093.548,lever_1_out,lever_1_out,,,ID:lever_1|,8
8,tone_start_door_2_open,1151.686,lever_1_out,lever_1_out,,,ID:speaker|,8
8,lever_retracted_lever_1,1152.122,lever_1_out,lever_1_out,,,ID:lever_1|,8
8,open_start_door_2,1152.679,reward_phase,reward_phase,,,ID:door_2|,8
8,tone_stop_door_2_open,1152.692,reward_phase,reward_phase,,,ID:speaker|,8
8,open_finished_door_2,1154.284,reward_phase,reward_phase,,,ID:door_2|,8
8,door_2_open_|_beam_broken_door2_ir,1186.768,reward_phase,reward_phase,34.092,,beam_ID:door2_ir|,8
8,beam_broken_door2_ir,1186.768,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1196.513,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1201.439,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1201.475,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1201.931,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1201.989,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1202.077,reward_phase,reward_phase,,,ID:door2_ir|,8
